ActualDirection,N,Mean_Actual_Cost,MAE,WMAPE
Improve,2675,2081.1745794392523,2506.558551050204,1.2043961019961942
Stable,4057,8640.31501109194,4743.198523679474,0.5489612956923942
Escalate,2406,14473.694264339152,12350.284428644665,0.8532917859867867
