Model,R2_log,R2_dollar,MAE,N_feats,R2_log_gain
Original Only,0.1354585898587528,0.1450987762860927,7083.713716860704,21,0.0
+ Interactions,0.13615373781406737,0.13951978798004427,7097.556229581097,27,0.0006951479553145568
+ LATENT_RISK_SCORE,0.14004208881096536,0.14607556878439498,7050.159253999764,28,0.00458349895221255
+ Stage 1.5 Enrichment,0.14169727733700344,0.14641441177736692,7080.384840036658,34,0.006238687478250626
+ Full Pipeline (All Features),0.14390801134908904,0.15163476299413958,7052.211597275813,36,0.008449421490336229
