Experiment,NarrativeRole,OperationalUse,Accuracy,F1_Macro_10Class,F1_Weighted_10Class,Level_Acc,Level_F1_Macro,Direction_Acc,Direction_F1_Macro,Low_Jumper_Precision,Low_Jumper_Recall,High_Escalate_Precision,High_Escalate_Recall,Brier_Multi,ECE_Multi,Abstain_Rate,Hard_vs_Eval_Agreement,Low_Jumper_F1,High_Escalate_F1,Operationally_Actionable
Baseline_Selected,Overall benchmark for routing,Use for default Stage 2 routing only,0.49233968045524185,0.4348544054199701,0.4866741730994382,1.0,1.0,0.5122565112716131,0.4971885273201438,0.2459016393442623,0.06224066390041494,0.2525083612040134,0.4603658536585366,0.5990399480616273,0.026750059853325937,0.0,1.0,0.09933774834437085,0.326133909287257,False
Hier_Targeted,Rare-class sensitivity test,Do not use as default routing; inspect as recall stress test,0.42733639746115126,0.40255169369085114,0.41729783949204763,1.0,1.0,0.4853359597286058,0.48271333618144047,0.16766826923076922,0.578838174273859,0.245260663507109,0.6310975609756098,0.6384101398812483,0.084095943168757,0.0,1.0,0.2600186393289841,0.3532423208191126,True
Global_Calibrated,Optional escalation-screening sensitivity test,Use only if recall for High_Escalate is prioritized over precision,0.47789450645655507,0.4038881448464128,0.4576719589362551,0.9973736047275115,0.9973086850183496,0.5053622236813307,0.48597217350973554,0.176056338028169,0.2074688796680498,0.22213911742707554,0.9054878048780488,0.5743712695444498,0.04950969822298753,0.07058437294812869,0.7980958634274459,0.19047619047619047,0.3567567567567568,True
