DBSCAN_CLUSTER,AGE_Y1,UTIL_ER_Y1,UTIL_IP_Y1,UTIL_OB_Y1,UTIL_RX_Y1,CNT_TOTAL_CONDITIONS,CNT_ILL_DEFINED,CHRONIC_COUNT,CNT_UNIQUE_DRUGS,TOTAL_RX_COST_Y1,POLYPHARMACY_FLAG,HAS_CARDIOVASCULAR_RX,HAS_CNS_RX,HAS_PAIN_RX,HAS_RESPIRATORY_RX,HAS_GI_RX,MNHLTH_RD1,RTHLTH_RD1,COST_Y2_ADJ,COUNT,PCT
-1,56.79843137254902,1.2473202614379084,0.790326797385621,24.119738562091502,52.308235294117644,11.137254901960784,1.3009150326797385,1.4648366013071896,12.093071895424837,8006.66165751634,0.836078431372549,0.6230065359477124,0.7398692810457517,0.44601307189542483,0.38588235294117645,0.5388235294117647,2.648888888888889,3.356078431372549,29566.24620130719,3825,6.3
0,41.31883256103465,0.14369366254005578,0.04981902851741706,3.25619567973811,4.460313069138023,1.5086336076722686,0.10777601032805403,0.4133757521267031,0.8166078797519423,151.15361043871175,0.043294833667611866,0.0833621504483943,0.1507019849228854,0.0,0.0,0.0,1.8527560688844318,2.1520390990617146,4168.468910713051,43377,71.6
1,60.51111807077983,0.15972439711869715,0.06310679611650485,6.365173817726276,22.0721891637958,5.5,0.3466958972752897,1.8329157532101472,6.428437206388976,1737.0934622611962,0.6168180394613216,0.7038834951456311,0.36955840901973064,0.0,0.0,1.0,2.0764171625430627,2.7342624491074226,10304.430165988098,6386,10.5
2,43.222999562745954,0.24529951902055094,0.031919545255793616,5.643637953651071,10.40445999125492,4.584171403585483,0.33624836029733274,0.48928727590730214,4.263226934849147,798.4977437691299,0.3694796676869261,0.22780935723655443,0.37822474857892435,0.0,1.0,0.0,1.9501530389156099,2.4162658504591166,6838.679261040665,2287,3.8
3,62.20220588235294,0.17769607843137256,0.0,8.317401960784315,32.57720588235294,7.950980392156863,0.49754901960784315,1.8235294117647058,9.757352941176471,2596.7596691176473,0.8946078431372549,0.7610294117647058,0.49754901960784315,0.0,1.0,1.0,2.230392156862745,2.889705882352941,12534.722377450982,816,1.3
4,62.24183006535948,0.24836601307189543,0.006535947712418301,10.986928104575163,51.55555555555556,11.65359477124183,0.8366013071895425,2.1633986928104574,14.869281045751634,3013.4980392156863,1.0,1.0,1.0,1.0,1.0,1.0,2.888888888888889,3.503267973856209,17168.210784313724,153,0.3
5,60.98137254901961,0.1676470588235294,0.020588235294117647,8.398039215686275,33.601960784313725,8.034313725490197,0.5823529411764706,1.807843137254902,9.573529411764707,2534.7146960784316,0.8941176470588236,0.7274509803921568,0.6362745098039215,1.0,0.0,1.0,2.5980392156862746,2.933333333333333,12972.754970588236,1020,1.7
6,44.0165548098434,0.19463087248322147,0.026398210290827742,8.302013422818792,17.03847874720358,5.278747203579418,0.42192393736017897,0.5422818791946309,4.828635346756152,1205.6570246085012,0.458165548098434,0.254586129753915,0.5834451901565996,1.0,0.0,0.0,2.6809843400447426,2.556599552572707,7932.753950782999,2235,3.7
7,44.58404558404558,0.2706552706552707,0.008547008547008548,8.207977207977208,24.495726495726494,7.444444444444445,0.5213675213675214,0.5698005698005698,7.8746438746438745,1627.2105982905985,0.8205128205128205,0.29914529914529914,0.7008547008547008,1.0,1.0,0.0,2.6923076923076925,2.786324786324786,9409.10564102564,351,0.6
8,73.4,0.1,2.0,12.4,21.3,7.5,0.7,1.8,7.3,1621.663,1.0,1.0,1.0,0.0,0.0,1.0,1.9,3.2,9823.353,10,0.0
9,61.59375,0.09375,0.0,9.78125,29.3125,8.8125,0.3125,2.0625,11.0625,2525.020625,1.0,1.0,0.0,1.0,1.0,1.0,2.59375,3.3125,16426.26875,32,0.1
10,42.9,0.0,0.0,1.2,1.35,0.9,0.05,0.5,0.1,3.1599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-7.6,2.8,5421.477000000001,20,0.0
11,43.96153846153846,0.0,0.0,0.6153846153846154,1.4230769230769231,0.19230769230769232,0.07692307692307693,0.2692307692307692,0.0,0.1323076923076923,0.0,0.0,0.0,0.0,0.0,0.0,-7.461538461538462,-7.461538461538462,917.6723076923076,26,0.0
12,45.26315789473684,0.10526315789473684,0.05263157894736842,0.7894736842105263,0.6842105263157895,0.5789473684210527,0.05263157894736842,0.10526315789473684,0.47368421052631576,27.124736842105264,0.0,0.05263157894736842,0.21052631578947367,0.0,0.0,0.0,2.473684210526316,-7.894736842105263,172.2384210526316,19,0.0
13,67.6,1.0,1.0,4.9,27.1,7.1,0.0,2.3,10.0,3132.733,1.0,1.0,0.0,0.0,1.0,1.0,2.7,4.0,11983.068000000001,10,0.0
14,68.18181818181819,1.0,1.0,5.818181818181818,32.81818181818182,10.545454545454545,0.8181818181818182,2.090909090909091,10.636363636363637,2421.660909090909,1.0,1.0,1.0,0.0,1.0,1.0,2.8181818181818183,3.3636363636363638,14804.217272727274,11,0.0
15,57.666666666666664,0.06666666666666667,0.0,10.533333333333333,28.733333333333334,9.533333333333333,0.5333333333333333,1.0666666666666667,10.8,2034.5053333333335,1.0,0.0,1.0,1.0,1.0,1.0,2.8666666666666667,3.4,11023.277999999998,15,0.0
16,50.55555555555556,0.2222222222222222,1.0,12.777777777777779,32.333333333333336,8.777777777777779,0.3333333333333333,1.2222222222222223,10.444444444444445,1405.5677777777778,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.2222222222222223,15018.683333333332,9,0.0
