Y1_LEVEL,N,Mean_Actual_Cost,MAE,WMAPE,R2_log
0,3894,2334.937134052388,2169.6206431838227,0.9291987401041282,0.1491586618591041
1,2551,6821.176323010583,5588.66468349533,0.8193109837437432,0.18804264398291026
2,2693,18177.3272929818,12238.32100920594,0.6732739534227956,0.28482321877700256
