,Stable_Low_Avg,Jumper_Avg,Rel_Risk_Ratio
TOTAL_RX_COST_Y1,24.93594887786025,183.99543496801704,7.378426120581799
POLYPHARMACY_FLAG,0.018533971628090826,0.129637526652452,6.636516583551641
UTIL_RX_Y1,1.3033510474768326,5.9658848614072495,4.573833764267524
CNT_RX_Y1,1.1199877025780667,4.9,4.371145186277153
HAS_GI_RX,0.033290877948087313,0.13198294243070363,3.8489228135398443
CNT_UNIQUE_DRUGS,0.4852211339979797,1.7006396588486141,3.49766709000288
HAS_PAIN_RX,0.015415696780710616,0.05650319829424307,3.442022537882009
UTIL_OB_Y1,0.7371865255391102,2.4130063965884863,3.268830184655872
DIAB_Y1_FLAG,0.02490227941499407,0.08336886993603411,3.2185920242901216
HAS_CARDIOVASCULAR_RX,0.057490447538319646,0.17334754797441365,2.9636898890343777
CNT_ILL_DEFINED,0.059730335104747685,0.17569296375266524,2.8930017173399425
CNT_TOTAL_CONDITIONS,0.9490096183407264,2.401918976545842,2.528310166733891
HAS_RESPIRATORY_RX,0.023452940401422987,0.058208955223880594,2.380448087972817
HAS_CNS_RX,0.0761561772585533,0.167590618336887,2.1720959266201647
CHRONIC_COUNT,0.3020773859194519,0.6539445628997868,2.1576818109206735
CHOL_Y1_FLAG,0.12042689621854276,0.25906183368869934,2.133479828245324
UTIL_IP_Y1,0.0015810971057139093,0.005330490405117271,2.065203356091054
UTIL_ER_Y1,0.04883833282094075,0.10106609808102346,2.027878790491125
HIBP_Y1_FLAG,0.15674821028591507,0.3115138592750533,1.9747536831666204
AGE_Y1,38.19908647722781,45.0727078891258,1.1799111480021116
RTHLTH_RD1,2.074311563968554,2.3155650319829424,1.1157674212323856
MNHLTH_RD1,1.800737845316,1.9584221748400852,1.086962889707523
