Experiment,NarrativeRole,F1_Macro_10Class,Direction_F1_Macro,Low_Jumper_Precision,Low_Jumper_Recall,High_Escalate_Precision,High_Escalate_Recall,Abstain_Rate,Operationally_Actionable
Baseline_Selected,Overall benchmark for routing,0.4348544054199701,0.4971885273201438,0.2459016393442623,0.06224066390041494,0.2525083612040134,0.4603658536585366,0.0,False
Hier_Targeted,Rare-class sensitivity test,0.40255169369085114,0.48271333618144047,0.16766826923076922,0.578838174273859,0.245260663507109,0.6310975609756098,0.0,True
Global_Calibrated,Optional escalation-screening sensitivity test,0.4038881448464128,0.48597217350973554,0.176056338028169,0.2074688796680498,0.22213911742707554,0.9054878048780488,0.07058437294812869,True
