Model,AUC_ROC,PR_AUC,Recall,Precision
Baseline LR,0.8476778034164572,0.5001433129629601,0.7158018867924528,0.32031662269129285
Latent-Adjusted LR,0.8476170558222471,0.4993338129255141,0.722877358490566,0.30866062437059416
XGBoost (Original Feats),0.839553624204562,0.5098064827857989,0.30778301886792453,0.660759493670886
