Model,Cost_MAE,Cost_R2_log,Direction_F1_Macro,Direction_Accuracy,Escalate_Recall,MAE_Gain_vs_Base,Direction_F1_Gain_vs_Base
Base Year1 only,6098.764322735982,0.43436904880162364,0.5107569961721627,0.5200262639527249,0.4833748960931006,0.0,0.0
+ Direct deterministic features,6091.375013126066,0.4159255207884037,0.5170374521308896,0.5254979207704092,0.4912718204488778,7.389309609916381,0.006280455958726838
+ Care-pattern and Rx continuity,6104.73189869788,0.4233289312554912,0.5178518689385115,0.5261545195885314,0.4945968412302577,-5.967575961897637,0.007094872766348792
+ Known Y1-level subgroup split,6099.811884530964,0.418942514971812,0.4990403963957532,0.5078791858174655,0.4085619285120532,-1.0475617949814477,-0.011716599776409542
