Strategy,FeatureCount,UsesDirectionSignal,UsesKnownY1LevelExpert,MAE,Median_AE,RMSE,R2_log,R2_dollar,WMAPE,Direction_Acc,Direction_F1_Macro,Escalate_Recall,MAE_Rank,R2log_Rank,MAE_vs_Best,R2log_vs_Best
Global_Direct,28,0,0,6091.375013126066,1127.45051574707,20496.975437775418,0.4159255207884037,0.15700719401494412,0.7377993742750475,0.5528562048588312,0.4892348833232445,0.15918536990856194,1.0,4.0,0.0,-0.01862389558423272
Y1Level_Direct,28,0,1,6095.284350854768,1134.5367919921869,20522.15364051355,0.43454941637263644,0.1549348804566547,0.7382728809831144,0.5489166119500984,0.4752300150366959,0.13050706566916043,2.0,1.0,3.9093377287017574,0.0
Global_DirectPlusDirectionSignal,29,1,0,6097.439436906439,1117.4640380859369,20501.053834416824,0.42818401809705997,0.1566716907516541,0.7385339092627731,0.5506675421317575,0.48623974513297913,0.1541978387364921,3.0,2.0,6.064423780373545,-0.006365398275576473
Y1Level_DirectPlusDirectionSignal,29,1,1,6101.782692546987,1132.746323850099,20524.64440963824,0.4218164616202478,0.15472973728520178,0.7390599729654688,0.5478222805865616,0.48023793514775,0.14422277639235245,4.0,3.0,10.40767942092134,-0.01273295475238867
